"Total energy expenditures per capita, dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
OK,409.4,419.7,454,503.2,649.9,732.4,854.9,1014.3,1120.6,1354,1647.7,1976,2036,1976.4,1977.9,2004.3,1658.5,1650.1,1674,1777.2,1981.6,1914.5,1889.6,1971.3,1957.2,1904.4,2145.9,2177.7,2020.6,2091.8,2689.5,2860.3,2525.4,2903.2,3207.3,4015.1,4543.5,4694,5609.4,4033.4,4518.4,5116,5133.2,5007.6,5257.6,4076.8,3539.1,3953,4343,4081.2,3308.2,4474.6
OR,419.3,452.4,470.6,524.1,662.1,715.7,788.1,858.9,946.6,1169.7,1477.6,1670,1676.3,1551,1710.5,1692.5,1441,1515.6,1583.6,1682.3,1745,1732.8,1730.7,1789.6,1797.9,1788.2,1932.9,1844.7,1781.6,1959.8,2210.5,2129.9,2178.2,2244.7,2546.8,2966.9,3328.7,3532.5,3921.9,3160.5,3311.2,3819.6,3818.4,3782,3732.9,3153.3,2880,3150.2,3401.3,3346.3,2843.6,3579.1
PA,405.6,443.6,485.6,536.3,758.9,815.2,907.6,1005.9,1053.6,1300.8,1564.9,1738.8,1673.1,1644.8,1755.9,1736,1549.2,1599.6,1625.8,1732.7,1876.6,1884,1882.7,1888.3,1938.3,1969.4,2060.4,2096.2,1919.3,1932.1,2356.6,2426.9,2322.3,2588.5,2883.4,3406.2,3688.8,3884,4486.6,3424.4,3830.2,4366.5,4232.5,4272.5,4362,3509.6,3111.4,3390.3,3744.3,3576,2888.7,3567.7
RI,375.5,411.9,434.7,471.1,688,736.3,786.3,892.9,888.5,1068.5,1313.7,1473.6,1426.7,1459.8,1519.4,1567,1373.8,1454.5,1477.8,1536.3,1639,1774.7,1878.4,1715.5,1894.5,1843.5,1905.1,1984.1,1781.9,1796.1,2067,2182.5,1906.2,2240.2,2454.8,2901.8,3270.1,3365.2,3909.9,3261.5,3499.4,3702.5,3629,3781.5,3992.5,3385.5,2853.2,3041.3,3656.6,3440,2864.4,3406.3
SC,373.3,406.9,443.5,500.3,665.3,727.5,859.9,972,1002.4,1216,1507.7,1721.8,1692.9,1687.3,1782.9,1794.9,1631,1728.3,1784.8,1837.4,1965.1,1940.6,1875.6,1928.6,1941.1,2006.8,2101.9,2110.5,2021.8,2097.1,2520.2,2444.6,2427.6,2656.4,3127.8,3643.2,3889.8,3984.7,4555.4,3561.6,4092.2,4588.2,4476.3,4576.4,4585.2,3798.6,3576.2,3769.9,3991.2,3821.9,3248,4045.4
SD,459.5,466.6,468.1,543.6,699.8,785.4,861.8,943.5,1049.4,1375.2,1637.2,1750.4,1836.6,1741.4,1760.3,1797.6,1531.5,1573.5,1625.9,1856.2,1993,1826.6,1837.4,1918.8,1937.1,1966,2182.6,2176.1,1921.9,2032.5,2589,2540.7,2517.1,2731.1,3057.9,3753.3,4071.4,4568.9,5284.9,4221,4763.1,5600.7,5718.6,5657.7,5740.4,4501.7,4082.4,4419.2,4902.6,4693.5,4185.6,5329.3
TN,376.1,408.3,437.9,504.6,646.3,808.4,914.2,1012,1120.8,1378.8,1635,1872.3,1868,1777.3,1826.8,1832.2,1700.8,1730.2,1783,1883.8,1972.5,1864.3,1883.8,1901.1,1919.1,1914.9,2089.5,2070.4,2009,2080,2412.3,2423.5,2387.7,2608,2950.9,3589.4,3909.5,4066.1,4654.4,3492.2,4026.3,4643.4,4435.9,4459.8,4530.5,3633.2,3366,3551.8,3946,3799.9,3090.3,4015.5
TX,485.8,521,563.4,639.9,939.3,1029.2,1197.7,1426.7,1577,2082.2,2647.2,3116.5,2910.7,2791.4,2882.4,2719.9,2145.7,2192.1,2263.8,2354,2665.3,2595.6,2549.2,2568.2,2630.1,2559.1,2967.5,2975.6,2580.2,2695.2,3559.5,3477.4,3169.4,3775.4,4386.7,5183.2,5823,5959.1,6633.2,4484.9,5394.3,6326.2,5846.5,5983.3,5950.3,4342.9,3961.4,4446.8,5195.5,4755.7,3707.1,5469.2
UT,402.4,430.9,452.5,508.8,710.4,799,870.4,906.8,987.6,1249.1,1494.9,1590.4,1589.5,1531.4,1610.9,1601.9,1404.7,1408.2,1508.5,1506.7,1587.8,1611,1540.9,1531.5,1495.4,1551.7,1684.9,1725.5,1616.7,1655.5,2008.9,1989.1,1820.2,2026.5,2353.9,2840.1,3284.4,3346.7,3658,2726.3,3028.7,3746.4,3718.8,3772.8,3694.7,2981,2758.2,2984.4,3307.9,3133.5,2651.7,3328.3
VA,375.8,397,427.8,481.6,678.6,767.6,836.3,961.6,999.5,1255.6,1562.3,1693.2,1672.5,1667.4,1691,1718.6,1524.4,1625.1,1644.9,1743,1828.3,1763,1764.7,1804.6,1795.4,1853.5,1962.4,1969.9,1790.1,1876.5,2280.3,2238.6,2153.8,2431.8,2812.7,3419.3,3629.4,3853.3,4351.7,3363.8,3825.9,4244.7,4243.3,4207.2,4246.2,3403.2,3122.2,3352.9,3777.4,3647.7,2961.8,3711.5
VT,457.1,485.3,528.2,577,737,760.3,893,919.7,979.9,1198.8,1441.2,1615.1,1498,1561.1,1689,1744.6,1494.7,1651.4,1703.8,1811.4,1915.3,1956.3,2020.2,2003.2,2003.5,2054.7,2232,2259.8,2043.9,2208.2,2646.6,2674.5,2539,2721.6,3207.4,3697.5,4067.5,4368.5,4790.7,4084.5,4467,5185.2,5129.5,5287.6,5282.3,4302.1,3850.5,4130.9,4537.1,4383.5,3617.1,4348.7
WA,366.1,383.8,415.5,464.8,587.7,670.3,721.1,796.2,839.4,1051.9,1317.4,1594.3,1639,1526.2,1684.5,1666.7,1437.1,1468.3,1533.3,1660.8,1753.2,1736.6,1665.8,1668.1,1735.8,1763.1,1880.6,1858.2,1672.6,1870,2192.4,2149.4,2019.6,2189.4,2502.2,2931.6,3325.9,3564.2,4017.7,3147,3307,3914,3896.2,3801.1,3637.8,3051.1,2894.5,3185.6,3449.3,3389.5,2581.7,3351.1
WI,411,429.2,449,530.4,668.1,739.6,831.1,942.5,1010.9,1222.7,1430.2,1586,1654.1,1647.1,1715.2,1717.9,1500.5,1479.9,1556.6,1629.8,1665.5,1664.7,1635.8,1705.7,1733.5,1767.4,1914.6,1913.1,1797.2,1945.6,2352.6,2432.6,2322,2603.7,2906.4,3466.5,3705.2,3985.8,4445.9,3418.9,3809.8,4323.5,4230.5,4335.6,4604.6,3604.3,3316.8,3544,3929.3,3771.7,3136.3,4066.4
WV,425.3,462.3,506.7,552.5,784.8,935.1,1009.6,1112.1,1128.1,1365.2,1649.8,1824.6,1789.9,1771.5,1760.4,1739.6,1510.1,1594.7,1659,1811,1968.9,1910.8,1917.2,1971.9,2023.6,2098.5,2030.6,2081.6,2033.5,2057.4,2392.6,2388.2,2379.3,2576.7,2964.9,3510.1,3853.8,4138.5,4712.3,3699,4412.7,5046.3,4938.6,4947.2,4874.7,3932.7,3899.3,4111.7,4854.6,4470.3,3759.2,4902.8
WY,678.9,700.6,745,818.3,1114.4,1231.1,1363.2,1573.7,1798.2,2303.3,2955.8,3304.8,3174.2,2623.1,2822.9,2901.1,2490.6,2702.8,2832.7,3138.7,3359.1,3173.3,3297.5,3434.6,3399.8,3426.2,3595.7,3574.6,3371,3679.3,4398.6,4735.8,4366.4,4932.7,5617.1,7022.5,8182.8,8393.7,9992,7030,8147.5,9828.8,10039.3,9518.7,10054.6,7583.6,6819.1,7598.5,8569.7,8092.7,6702.7,8655.8
