"All petroleum products total consumption, excluding biofuels, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NJ,955611,969056,1039261,1062840,1079414,1072225,1152190,1252470,1311960,1372768,1439875,1417667,1551304,1578425,1414664,1269139,1348518,1365149,1361982,1317117,1249507,1159200,1191430,1177466,1271714,1191379,1272286,1273285,1259554,1258947,1127887,1125667,1123664,1089682,1169163,1146903,1120749,1134515,1114078,1159974,1190347,1193427,1178970,1146359,1164799,1225835,1175190,1241757,1216492,1030179,919715,931578,884720,878077,856154,877467,888468,858632,888315,842885,686425,750887
NM,106623,107071,114724,117912,125717,127993,126340,125949,143512,147150,155743,157066,173727,191733,193141,199475,202452,212605,215103,214617,201366,213772,187749,208526,202016,188716,188641,197109,198678,199118,210758,226518,231443,232189,221276,204586,206197,217240,228647,238816,231369,238316,243128,248457,255866,254624,268257,277635,241949,226557,226019,232633,233394,232460,240408,237701,235515,249356,257803,262605,237384,262264
NV,54380,62004,67559,71529,75647,69877,72019,75859,84601,87394,90440,96024,103141,110673,109083,115914,115566,127198,149414,138630,147127,130637,128355,138721,135708,135732,141930,153921,166087,175143,168907,174349,178800,190337,200260,206975,224190,214249,220582,225010,233204,247451,234506,239284,260161,275627,291217,285879,259144,237095,282396,267077,261495,268244,275622,266639,289383,306479,308260,306466,245204,284865
NY,1700047,1817656,1883701,1902730,1888516,2109451,2220867,2354677,2416843,2530375,2647016,2745083,2847192,2926764,2662440,2575898,2746055,2762674,2737616,2382107,2135731,1909639,1775955,1606417,1577749,1676368,1793211,1853579,1901048,1868573,1785597,1667903,1573605,1559483,1493381,1441869,1510247,1462905,1498639,1522476,1604698,1625732,1560207,1760002,1823746,1807239,1556773,1562784,1480358,1385849,1485219,1387352,1341448,1330482,1382080,1383266,1382206,1378849,1423244,1386269,1066114,1209837
OH,796707,770467,805616,821093,858117,917461,940071,949735,1023914,1052349,1071430,1071726,1151713,1208961,1182948,1200334,1287362,1350669,1369852,1384084,1301153,1199908,1124585,1104882,1096264,1078973,1067822,1114991,1102825,1138457,1087841,1054525,1095319,1100196,1115705,1116216,1186247,1213463,1200238,1269430,1251551,1257823,1270998,1303901,1303260,1280172,1289366,1284301,1232449,1124661,1091310,1067554,1045080,1053987,1062667,1081188,1082887,1073983,1089761,1070162,982394,1029340
OK,254680,257686,273079,283258,286214,294406,303667,313611,337999,346039,365166,369703,395038,414787,408315,421722,439476,457902,482959,465726,442550,435481,443116,461895,456031,458247,412111,412384,427135,436023,430559,433239,468171,457287,467102,434518,461885,457820,465618,491891,511661,581673,549321,545461,526834,557797,583533,563473,540101,504395,523822,507576,522769,506028,535307,521667,520186,544537,541278,524240,474552,519226
OR,212447,218420,228614,235270,249225,248291,262945,262509,281035,293361,294478,311295,340285,344095,318409,306615,312312,338296,360125,363933,334332,333667,341618,308401,321691,317849,324839,332885,355757,352981,346180,359850,369828,360397,366782,358795,361561,358191,385362,393569,378765,352498,366296,358058,368456,374572,381213,374647,356012,348602,342072,331023,323741,322313,325766,323140,327835,335127,339590,334509,300473,322320
PA,1120870,1100989,1146054,1174614,1193781,1245912,1284932,1308614,1377524,1448627,1528940,1558163,1650519,1655536,1602646,1469329,1623254,1716994,1713648,1621351,1436379,1297668,1191619,1227111,1276013,1223123,1281549,1340493,1361537,1363180,1311090,1266691,1283797,1314251,1345845,1310049,1297896,1312478,1348264,1343271,1407638,1431355,1403563,1446911,1475233,1498536,1430279,1402752,1380331,1246075,1238775,1208894,1157559,1181000,1207164,1187148,1138129,1151732,1170049,1134520,949953,1035606
RI,153624,136939,142184,140204,135069,127459,127158,147508,149482,161192,167131,173903,173492,165859,147937,136846,140424,143166,132150,115620,102801,92461,90122,92619,102311,114468,120640,121161,125779,112685,104515,95651,104490,99496,104400,98788,96751,102259,96345,97394,97168,99767,98079,102986,98408,97180,90465,87046,89555,91589,88739,82254,78856,82166,86353,86112,74342,75184,82615,77313,68314,76590
SC,219200,222199,241045,245215,231493,224469,243173,245391,267320,278432,300420,313088,332011,361835,353785,337376,386714,418568,416663,391960,351306,332406,309557,324249,347955,345974,351623,360750,399527,381588,387626,399050,387865,397231,394542,401400,408506,435897,452309,457386,472260,481022,478674,495840,569746,547413,551756,533797,502602,512746,506026,485250,468285,480197,479576,511425,522302,524166,526034,515839,465872,509517
SD,86178,87074,90393,94732,94639,89989,93476,92614,97836,97755,103787,106581,111604,110634,102368,103528,103359,104619,110390,118250,101874,92817,97585,92479,93209,96235,99566,102956,104269,108171,108392,97389,103259,106331,109047,110090,115363,111749,110149,113682,115982,110286,117665,112417,113059,118214,116224,117482,112732,115110,114364,112687,116746,112656,114520,115692,113289,112658,115313,116179,119687,119919
TN,228239,236525,253947,263331,273631,291325,325849,332976,360748,383337,389234,402895,444471,485933,470394,492805,551645,582671,610104,566792,501001,492503,483674,477721,519409,536800,551741,544135,551907,567114,553207,526118,561444,572761,592881,617783,634454,637049,671267,688943,697006,710393,737577,755961,765424,782703,785896,773597,714765,655512,681223,673366,646741,655891,672629,687482,702677,694516,700650,713625,657467,715602
TX,1536057,1555772,1633869,1812971,1933568,1963246,2078723,2175645,2346123,2540573,2610292,2672581,2995419,3295589,3312660,3220686,3481271,3885371,4145601,4561292,4451936,4267534,4020260,3995613,4198364,4191428,4323366,4370450,4620740,4651246,4758496,4782851,4986280,4927256,5149512,5121472,5497675,5863047,5934436,5842281,5767121,5773604,5924903,5978967,6161669,5987815,6086196,5917140,5245208,5058739,5394188,5393262,5504726,5828991,5803534,6022376,6175136,6286229,6720839,6850186,6187966,6802215
UT,127551,126702,136636,136195,136680,142231,154284,151592,161346,170147,165826,179959,186443,190457,199781,203889,207169,211890,216782,213386,200325,168355,166643,176813,176034,174052,188163,192227,196678,190141,193227,205358,201745,205702,210443,227890,242234,245399,250190,256387,267708,260345,258213,276298,277475,287599,310505,299418,279173,264282,258718,276715,269396,271571,274435,276308,285349,294385,310060,305584,285122,302537
VA,442254,429518,441746,468650,479118,513562,533921,555985,585128,660544,745710,811980,860821,884314,853442,824369,856635,900885,878353,886409,737949,648378,604004,627925,672067,683369,741433,774880,803072,788354,752480,731252,724875,741831,754018,750734,767473,799733,811633,827413,869435,888633,855088,934350,995785,998762,958756,958752,870324,810586,844391,795625,796113,793774,830111,834674,844901,847776,869728,872814,739500,789358
VT,46623,50463,52473,52519,49575,58909,64284,63731,67645,69754,73893,73664,77415,78922,69940,68977,78973,77992,78180,71419,61631,58643,53063,57921,65699,68469,69182,75708,78546,77571,72019,77556,81981,81392,80554,80434,84587,86534,83046,83770,88067,89212,84489,87073,95317,90539,88725,86757,77454,84448,81464,79938,75387,78655,79824,81888,77727,77379,75792,77367,70379,72373
WA,356807,363073,373247,379869,393136,405793,432260,447725,498738,516487,506713,520422,555922,572821,539132,548878,558392,600518,621666,621007,594767,600871,582011,523972,598967,607438,675941,701381,735378,761470,763170,761591,847703,759003,794789,815156,820381,822643,822396,848406,835014,768387,736282,723154,749526,768653,795563,820408,766791,732582,691874,694946,697816,698425,681853,732667,800690,769685,775777,794537,621358,712349
WI,392174,390600,404321,410815,410726,412265,430383,459141,475146,490560,510121,513461,532257,550614,527154,524308,570026,582503,605891,564808,474923,439877,437256,431106,441010,437393,441874,446969,478838,487333,478557,478345,476373,501031,514289,518512,543614,545521,565384,607396,600129,603696,600959,579881,606012,596603,589851,584630,558483,518538,528503,516508,501822,510487,543179,534079,524098,523110,548839,547523,493092,533212
WV,126727,131972,139292,129969,130542,136937,140775,140768,148069,150546,154461,160762,170824,178310,181101,198211,216353,235436,224998,234025,217628,205098,192255,197978,199755,194395,182865,193284,201175,209562,207656,199249,197870,197702,206789,206589,185803,198854,213149,204099,206488,217958,228699,211544,230361,231304,236344,235366,221682,191464,203955,199665,194403,195225,193011,189690,199199,191481,216968,208371,179259,205121
WY,75496,81242,90729,86377,85379,86464,82040,95114,105759,109008,102687,108054,111447,121873,124555,129694,139354,153243,169839,174797,173524,160096,147840,114608,115379,117402,110962,125441,128596,129670,122829,109136,113026,119969,119956,129045,132719,131308,128915,147779,145728,156709,150160,159203,153076,155289,166896,169430,169975,163336,166451,168323,172121,161686,171012,158389,152624,153755,159048,155232,138481,146812
