"Total energy average price, dollars per million Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State.Abb,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RI,1.92,2.01,2.16,2.44,3.76,4.14,4.28,4.68,5.02,6.49,8.95,10.66,10.29,10.3,9.91,9.56,8.38,8.52,8.44,9.34,10.48,10.39,9.24,10.66,9.57,9.89,10.59,11.07,9.5,9.93,13.14,14.05,12.72,14.28,16.01,19.02,22.56,22.96,26.42,21.52,23.62,26.18,26.58,26.23,26.58,22.6,21.25,22.29,24.84,24.3,23.05,25.66
SC,1.82,1.96,2.08,2.28,3.26,3.74,3.82,4.27,4.63,5.74,7.17,8.38,8.87,8.58,8.59,8.77,7.78,8.05,7.86,8.07,8.58,8.46,8.23,8.22,8.37,8.44,8.79,8.63,8.22,8.67,10.31,10.4,10.03,11.1,12.4,14.93,16.12,17.2,20.56,16.76,18.55,21.4,21.83,21.96,21.91,18.05,17.07,18.25,19.15,18.84,17.14,20.22
SD,2.12,2.16,2.09,2.48,3.32,3.63,3.73,4.09,4.39,5.86,7.74,8.85,8.65,8.69,8.65,8.55,7.2,7.36,7.35,8.03,8.69,8.41,8.34,8.33,8.23,8.28,8.81,9.05,8.28,8.58,10.54,11.05,10.09,11.17,12.8,15.18,16.84,17.69,19.66,15.42,17.22,20.45,21.03,20.24,20.37,16.3,15.01,16.3,17.42,16.63,14.91,18.85
TN,1.73,1.9,1.91,2.05,2.77,3.53,3.8,4.14,4.67,5.68,7.25,8.41,8.83,8.21,8.01,8.08,7.52,7.67,7.73,7.96,8.52,8.28,8.16,8.18,8.24,8.15,8.73,8.78,8.43,8.66,10,9.99,9.69,10.63,12.17,14.65,16.38,17.32,20.63,17.14,18.66,22.05,22.26,21.64,21.4,17.44,16.17,17.51,18.7,18.3,16.15,19.57
TX,1.28,1.33,1.4,1.48,2.29,2.83,3.17,3.51,3.71,4.77,6.15,7.26,7.66,7.59,7.54,7.12,5.74,5.77,5.58,5.65,6.51,6.35,6.27,6.44,6.57,6.42,7.06,6.9,6.08,6.71,8.74,8.86,7.96,9.76,11.41,14.72,16.78,17.79,21.71,15.75,17.39,20.49,19.16,18.99,18.84,13.69,12.53,14.07,15.29,14.08,11.94,16.53
UT,1.31,1.39,1.47,1.6,2.23,2.59,2.71,3.15,3.42,4.43,5.79,6.7,7.29,6.95,7.09,7.25,7,7.41,6.83,6.84,7.18,6.97,7.17,6.98,6.99,7.02,7.56,7.66,6.99,7.51,8.72,9.27,9.18,10.19,11.39,13.73,15.88,16.51,18.7,15.03,17.03,20.29,21.15,20.66,21.01,17.22,15.76,16.92,18.46,17.46,15.89,19.68
VA,1.8,1.88,1.99,2.21,3.33,3.95,4.16,4.72,4.94,5.99,7.95,9.03,9.19,8.9,8.59,8.67,7.44,7.62,7.58,8.04,8.61,8.53,8.61,8.75,8.64,8.75,9.13,9.23,8.44,8.8,10.42,10.71,10.45,11.27,12.67,14.98,16.63,17.56,21.18,17.56,19.13,22.3,22.73,22.12,21.78,17.67,16.26,17.48,19.04,18.5,16.69,19.73
VT,2.37,2.52,2.64,2.86,4.08,4.33,4.48,4.75,5.03,6.62,8.97,10.46,10.53,10.26,10.07,10.11,8.86,9.14,9.19,9.91,11.24,10.87,10.65,10.69,10.85,11.21,11.73,11.4,11.08,11.69,13.6,13.9,13.8,14.66,15.96,18.66,21.03,22.9,27.01,21.15,23.67,27.92,29.07,28.28,27.7,21.34,19.91,21.5,23.11,22.16,20.51,24.24
WA,1.58,1.64,1.64,1.79,2.39,2.79,3.03,3.32,3.48,4.34,5.89,6.84,7.46,7.45,7.47,7.37,6.2,6.23,6.26,6.54,7.03,7.11,6.59,7.02,7.23,7.34,7.88,7.85,7.01,7.64,9.53,10.44,10.45,11.5,13.06,14.99,16.46,17.71,20.61,16.78,18.42,21.48,21.77,21.53,21.17,17.44,15.89,17.78,19.69,19.09,17.58,20.92
WI,1.76,1.86,2,2.26,2.92,3.28,3.64,3.97,4.14,5.25,6.72,7.91,8.34,8.36,8.44,8.41,7.6,7.56,7.4,7.49,8.01,7.89,7.85,7.93,7.92,7.82,8.2,8.26,7.97,8.23,9.93,10.56,10,11.32,12.75,15.08,16.75,17.95,20.14,16.7,18.46,20.91,21.34,20.27,20.66,16.97,15.76,16.74,17.5,16.89,15.48,19.44
WV,1.15,1.31,1.38,1.5,2.17,2.8,2.96,3.39,3.57,4.34,5.55,6.46,6.96,7.2,6.72,7.3,6.17,6.21,5.94,6.21,6.81,7.09,7.12,7.18,7.17,7.51,7.72,7.91,7.26,7.64,8.78,8.81,8.53,9.68,10.85,13.24,14.39,15.02,17.64,15.98,17.43,20.53,21.19,20.63,20.08,16.88,16.45,17.61,18.79,17.83,16.48,19.6
WY,1.32,1.5,1.33,1.59,2.18,2.55,2.69,2.93,3.22,4.27,5.86,6.68,6.61,6.55,6.79,6.79,6.17,6.1,6.15,6.53,6.53,6.26,5.97,6.13,6.03,6.18,6.38,6.48,5.96,6.56,7.92,8.51,8.03,8.8,10.31,12.94,14.55,14.95,17.86,13.64,15.37,18.2,18.68,18.42,18.79,14.88,13.28,14.51,15.41,14.93,13.58,17.32
US,1.65,1.76,1.84,2.02,2.87,3.33,3.57,3.98,4.23,5.22,6.89,8.04,8.47,8.4,8.3,8.38,7.32,7.36,7.29,7.59,8.29,8.25,8.16,8.29,8.33,8.31,8.77,8.83,8.22,8.58,10.33,10.78,10.1,11.44,12.9,15.57,17.4,18.34,21.53,17.26,18.92,21.87,21.84,21.42,21.33,17.31,15.95,17.32,18.61,17.96,16.25,19.99
