Coal Emissions by State (1970 - 2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change from 1970 - 2021,
million metric tons of carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute
New York,56.2,40.9,33.3,34.5,35.0,29.3,34.0,31.6,28.0,29.6,29.5,29.0,27.3,25.4,28.4,28.5,24.0,27.9,31.5,34.5,33.1,33.4,33.8,30.8,29.9,28.9,29.5,30.8,32.0,30.1,31.4,29.1,26.7,27.3,26.3,24.5,24.4,24.6,21.8,14.9,15.9,11.9,6.9,6.5,6.2,3.9,2.8,1.9,1.6,1.3,0.5,0.5,-99.09%,-55.7
North Carolina,46.7,46.1,46.9,50.6,49.7,45.3,51.8,52.1,47.5,53.1,59.4,62.3,59.2,56.6,53.1,52.3,55.4,47.6,49.0,56.2,54.0,54.0,61.8,65.4,60.0,63.0,70.7,72.7,71.7,70.6,74.8,72.0,73.5,73.7,74.8,77.6,74.2,79.0,75.8,64.8,71.5,59.7,51.1,47.2,47.9,38.8,36.5,33.5,31.1,30.4,21.4,21.3,-54.37%,-25.4
North Dakota,5.5,6.4,6.9,6.8,7.3,6.5,8.7,10.2,12.3,14.1,15.5,16.4,18.9,20.3,24.4,28.7,29.5,30.3,35.1,34.6,35.6,36.1,38.0,37.9,38.2,37.9,38.3,36.6,38.9,39.1,40.4,39.9,40.2,40.1,37.9,41.1,39.5,40.1,40.5,40.3,39.1,37.6,38.8,37.5,38.1,39.0,37.7,38.0,39.0,35.6,34.8,34.7,534.17%,29.2
Ohio,147.9,140.4,146.9,152.7,154.6,152.5,155.8,157.3,152.9,157.3,144.1,144.8,131.6,125.1,128.9,131.5,135.7,135.8,139.8,139.2,135.1,134.3,134.6,135.6,131.2,130.9,137.3,133.5,137.7,131.4,135.9,129.6,133.1,137.7,132.7,141.3,138.2,139.5,137.1,120.8,129.1,116.4,96.9,105.0,100.6,82.4,78.5,77.2,68.3,56.5,53.0,54.8,-62.93%,-93.1
Oklahoma,0.0,0.0,0.0,0.4,0.4,0.1,0.1,1.2,4.2,5.7,10.1,15.0,19.4,20.9,22.0,22.5,20.7,22.9,25.6,25.7,26.5,29.8,31.3,33.8,31.6,35.1,35.4,37.3,35.2,34.3,36.3,35.8,37.3,37.6,35.6,38.0,36.7,35.6,37.4,35.6,33.0,36.1,31.2,32.1,32.1,26.8,21.2,19.0,16.4,9.0,6.8,12.6,85344.14%,12.6
Oregon,0.3,0.3,0.2,0.2,0.3,0.3,0.6,0.5,0.4,0.4,1.1,2.5,1.1,0.9,1.1,1.0,0.3,0.3,0.3,0.6,1.5,3.1,3.9,3.5,4.2,1.9,1.9,1.6,3.4,3.7,3.7,4.1,3.6,4.3,3.5,3.4,2.6,4.3,4.0,3.2,4.1,3.4,2.7,3.7,3.3,2.5,1.9,1.8,1.6,2.6,1.7,0.1,-56.91%,-0.2
Pennsylvania,158.6,151.5,155.5,168.3,155.4,154.1,157.5,147.8,147.4,164.6,153.6,140.6,122.0,126.3,137.8,132.9,124.8,130.6,138.7,141.0,139.0,135.0,139.5,140.2,135.7,140.1,145.7,148.2,138.8,134.1,143.0,132.0,138.2,138.8,140.0,141.7,142.5,141.8,135.1,116.5,124.6,115.3,103.8,106.8,98.5,83.4,69.7,63.5,61.0,53.8,35.4,45.9,-71.05%,-112.6
Rhode Island,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.00%,0.0
South Carolina,13.3,14.4,16.6,16.0,14.8,13.3,16.3,18.0,18.3,19.6,23.4,25.3,25.8,22.2,23.2,25.0,25.1,28.1,28.7,28.7,27.5,27.7,27.4,31.2,31.4,29.9,33.5,34.3,35.5,38.3,41.1,39.4,38.5,40.0,41.4,41.2,41.2,42.4,42.5,35.5,38.7,35.0,28.5,24.6,29.2,23.1,21.2,18.4,19.6,15.4,13.1,15.6,17.05%,2.3
South Dakota,0.5,0.6,0.5,0.6,0.7,2.3,3.5,3.4,3.7,3.4,3.5,3.4,3.5,2.9,3.3,3.3,2.8,1.4,3.2,3.3,3.3,3.7,3.4,3.4,3.9,3.6,3.2,4.1,3.9,4.4,4.8,4.2,3.8,4.1,4.2,3.5,3.8,3.2,4.1,3.6,3.7,3.1,3.4,3.3,3.2,1.9,2.5,2.5,2.6,3.0,2.1,2.1,282.92%,1.5
